index,Resampling,Model,AUC Mean,AUC Std,Recall Mean,Recall Std,Accuracy Mean,Accuracy Std
3,None (Original),SVM,0.6135066005277826,0.03164394297512247,0.02558922558922559,0.014648593057162264,0.9136758839552257,0.0016566956378556898
5,None (Original),GBM,0.6122265693012579,0.036132768456550717,0.09138047138047138,0.033060887071659384,0.9149693367002838,0.002818140793822027
32,BorderlineSMOTE+Tomek,MLP,0.6088638670994151,0.03084614267808822,0.14255892255892255,0.03648787853776688,0.8816642355610625,0.00572168263372277
29,BorderlineSMOTE+Tomek,Random Forest,0.6068956094713813,0.023235732660440562,0.04767676767676768,0.04451051104297507,0.9101196731339304,0.0036306281147780763
10,SMOTE,SVM,0.6038319309772581,0.03319534454624481,0.055016835016835006,0.03903842574875997,0.8994505178516347,0.0011955413300497686
25,BorderlineSMOTE,MLP,0.6032852810168797,0.03332694862552869,0.14983164983164982,0.03249812393808392,0.8797292846275704,0.006334285317610089
31,BorderlineSMOTE+Tomek,SVM,0.6032322505972092,0.03237142265997837,0.06592592592592592,0.03644982926118005,0.9017137987462815,0.003738315270031548
4,None (Original),MLP,0.6028827603302933,0.029069098042317842,0.09521885521885522,0.05307422690585993,0.8988011773870582,0.0060554175618053735
24,BorderlineSMOTE,SVM,0.6024093464998634,0.03316871662601574,0.062289562289562284,0.041577788417077335,0.9013901741508121,0.00421987094100304
11,SMOTE,MLP,0.6018867246593901,0.03530638131708506,0.14996632996632994,0.052164695318325724,0.8797287618091609,0.00415355664289151
15,SMOTEENN,Random Forest,0.5966489094489738,0.024526661087670883,0.616902356902357,0.06539979142844084,0.5046860214041857,0.030387255472829663
9,SMOTE,XGBoost,0.5920095874321275,0.030069632784143013,0.04410774410774411,0.046287663719197174,0.9059177815769249,0.0035706612722085397
23,BorderlineSMOTE,XGBoost,0.5898574541716965,0.030029733342238452,0.05508417508417508,0.051102903658681795,0.908503641430222,0.003314800407662811
16,SMOTEENN,XGBoost,0.5898446430341483,0.03218416561153013,0.5404040404040404,0.039546454313510025,0.5796921645204971,0.029318455593545328
19,SMOTEENN,GBM,0.589291133774115,0.0099589390787612,0.6754882154882155,0.05893560221195119,0.4794678754228294,0.020415350602960285
22,BorderlineSMOTE,Random Forest,0.5892471317400774,0.03994875508280455,0.04774410774410774,0.04329730685682525,0.9104432977293996,0.004161041203372985
6,None (Original),Bagging,0.5867646655385214,0.03230728797473903,0.10956228956228957,0.02606121507218692,0.9140000313691047,0.0018540202330057242
18,SMOTEENN,MLP,0.5859373472409324,0.015514168936456723,0.6205387205387206,0.034143472799355146,0.4998316524721469,0.024641131360317283
1,None (Original),Random Forest,0.5857601332558502,0.03298879108243332,0.06565656565656566,0.02457681830423523,0.9123819083917584,0.0012708817614319452
17,SMOTEENN,SVM,0.5832384571351669,0.016850959467496398,0.5293602693602694,0.033088856210363574,0.5399250278400803,0.021247390140355843
30,BorderlineSMOTE+Tomek,XGBoost,0.5828342211995198,0.04197470791682472,0.054882154882154886,0.02353436605299189,0.9094724239429919,0.0027257004278055264
2,None (Original),XGBoost,0.5807480208999111,0.03083240858795666,0.054814814814814816,0.025908341581391423,0.9078543009656457,0.005046037233424835
27,BorderlineSMOTE,Bagging,0.5792039691983005,0.03286264198163461,0.055016835016835006,0.05081190731128745,0.9036560691375064,0.009150483286879535
8,SMOTE,Random Forest,0.5771452639933298,0.008453426402308697,0.05508417508417508,0.04844629967738669,0.9101207187707493,0.004388755720492298
20,SMOTEENN,Bagging,0.5700191204250322,0.026994724634804252,0.49299663299663293,0.06343148391904986,0.5903686392605256,0.027786418366146648
14,SMOTEENN,Logistic Regression,0.5614878541788901,0.025690119378170596,0.73003367003367,0.11266264957549563,0.3902212044690518,0.022966628309009855
26,BorderlineSMOTE,GBM,0.5614380657241534,0.030851538795886667,0.025723905723905722,0.02768127303233338,0.9097976169936896,0.003711541024674643
33,BorderlineSMOTE+Tomek,GBM,0.5546971135887213,0.03159960032146252,0.02579124579124579,0.03624847708603036,0.9081805396531623,0.0044900412059826885
13,SMOTE,Bagging,0.5465633071113148,0.028948116781968024,0.04754208754208754,0.022136760470092234,0.9043017498732165,0.0035554548755807004
34,BorderlineSMOTE+Tomek,Bagging,0.5448331358294448,0.037742566235916916,0.06606060606060607,0.055757575757575756,0.9085062555222695,0.006864171759518109
7,SMOTE,Logistic Regression,0.5422079629419677,0.04473305424259032,0.41245791245791247,0.04430239517897959,0.6504938019877555,0.017785876371694057
12,SMOTE,GBM,0.5412526088730376,0.012412818840827327,0.022087542087542086,0.027235373679757306,0.9094729467614012,0.004091299955195726
0,None (Original),Logistic Regression,0.5411406313999753,0.04516175091902953,0.018249158249158248,0.011499980160737458,0.9075327676438143,0.002791013867691313
21,BorderlineSMOTE,Logistic Regression,0.5307187906213201,0.05737929381182663,0.36848484848484847,0.0768909164952907,0.6559901919266381,0.014891356130719112
28,BorderlineSMOTE+Tomek,Logistic Regression,0.5302714923485429,0.0572689008148148,0.3465319865319866,0.07194692966915685,0.6530812302962812,0.014051048958894153
